Time,Title,Content,URL
"6:31  PM ET Fri, 20 July 2018","Trump lays into the Fed, says he's 'not thrilled' about interest rate hikes","In a stinging and historically rare criticism, President Donald Trump expressed frustration with the Federal Reserve and said the central bank could disrupt the economic recovery.",https://www.cnbc.com/2018/07/19/trump-lays-into-the-fed-says-hes-not-thrilled-about-interest-rate-.html
"12:21  PM ET Thu, 19 July 2018","Automakers push back on EU tariff plan, saying there's no evidence imports affect national security","Automakers, testifying at the first of a two-day hearing being held by the U.S. Commerce Department, warned against the Trump administration's proposal to hike tariffs on car imports from the EU.xc2xa0",https://www.cnbc.com/2018/07/19/automakers-say-no-evidence-auto-imports-hurt-national-security.html
"9:31  AM ET Thu, 19 July 2018",The EU is making a retaliation list to strike back if the US hits European cars with tariffs,"The European Union is making a list of goods it could target as a way to retaliate against potential tariffs on European cars, an EU official said Thursday.",https://www.cnbc.com/2018/07/19/eu-making-list-targeting-us-goods-in-case-the-us-slaps-tariffs-on-euro.html
"12:10  PM ET Thu, 19 July 2018","Copper xe2x80x94 a metal with a history of predicting economic trouble xe2x80x94 hits 1-year low, nears bear market",Copper prices reached their lowest levels in a year on Thursday amid concerns that a global trade war could strain global supply chains and slow down the global economy.,https://www.cnbc.com/2018/07/19/copper-hits-1-year-low-approaches-bear-market-on-trade-concerns.html
"8:41  AM ET Thu, 19 July 2018",Ivanka Trump: We are pushing for more education for mid- and late-career workers,"Trump, who is President Donald Trump's elder daughter and a senior White House advisor, was speaking to anchor Joe Kernen on CNBC's ""Squawk Box.""",https://www.cnbc.com/2018/07/19/ivanka-trump-pushing-for-education-for-mid--and-late-career-workers.html
"10:53  AM ET Thu, 19 July 2018","Trump trade tactics sabotaging the economy and markets, Stephen Roach warns",Yale senior fellow Stephen Roach says the markets are too complacent when it comes to trade war risks.,https://www.cnbc.com/2018/07/18/trump-trade-antics-sabotaging-economy-and-markets-stephen-roach-warns.html
"1:54  PM ET Thu, 19 July 2018",Fed's banking supervisor backs new interest rate benchmark,The Federal Reserve's banking supervisor gave his backing Thursday to a new interest rate benchmark for institutions to use when lending to each other.,https://www.cnbc.com/2018/07/19/feds-quarles-backs-alternative-to-overnight-lending-rate.html
"10:45  AM ET Thu, 19 July 2018",Trump says EU's $5 billion fine on Google is proof the US is being taken advantage of,"On Wednesday, the EU hit Googlexc2xa0with a $5 billion fine, alleging the company had violated antitrust laws by bundling its apps like Chrome and Google Play with its Android operating system.",https://www.cnbc.com/2018/07/19/trump-on-eus-google-ruling-they-truly-have-taken-advantage-of-the-u.html
"9:15  AM ET Thu, 19 July 2018",US weekly jobless claims drop to the lowest level since 1969,The number of Americans filing for unemployment benefits unexpectedly fell last week.,https://www.cnbc.com/2018/07/18/us-weekly-jobless-claims-july-14-2018.html
"9:08  AM ET Thu, 19 July 2018",The most important number in finance is going away. Wall St. isnxe2x80x99t prepared.,"Libor, a crucial interest rate benchmark, could be gone by 2021. The New York Times reports.",https://www.cnbc.com/2018/07/19/the-most-important-number-in-finance-is-going-away-wall-st-isnt-pre.html
"10:05  AM ET Thu, 19 July 2018",Leading indicators up slightly more than expected in June,The Conference Board's Leading Economic Index was expected to gain in June.,https://www.cnbc.com/2018/07/19/leading-economic-indicators-june.html
"9:02  AM ET Thu, 19 July 2018","Biggest threat to markets and economy is a Democrat win in November, Trump advisor Hassett says","The main thing that could derail markets and the economy would be a Democrat takeover of Congress, White House economic advisor Kevin Hassett said Thursday.",https://www.cnbc.com/2018/07/19/biggest-threat-to-markets-and-economy-is-a-democrat-win-in-november-t.html
"12:30  PM ET Wed, 18 July 2018",Blackstone's new president Gray says China and US will eventually reach a trade deal,Blackstone's Jonathan Gray share his market views at the Delivering Alpha Conference in New York on Wednesday.,https://www.cnbc.com/2018/07/17/blackstones-jonathan-gray.html
"11:02  AM ET Wed, 18 July 2018","Citadel's Ken Griffin says 'very strong growth' coming next 6 to 9 months, barring a trade-related setback",Citadelxe2x80x99s Ken Griffin shares his market views at the Delivering Alpha Conference in New York on Wednesday.xc2xa0xc2xa0,https://www.cnbc.com/2018/07/17/ken-griffin.html
"2:54  PM ET Wed, 18 July 2018","'It's a lot of money'xc2xa0xe2x80x94 Trump's tariffs take a toll on farmers in Pennsylvania, a key state in the fight for Congress","As the U.S. exchanges blows with global trading partners in a widening series of conflicts, candidates across the country have had to adapt to a changing trade landscape.",https://www.cnbc.com/2018/07/18/trump-tariff-policy-affects-pennsylvania-amid-house-midterm-elections.html
