Time,Title,Content,URL
"8:39  AM ET Fri, 16 Feb 2018",US import prices rise more than expected in January,U.S. import prices rose more than expected in January as the cost of imported petroleum and a range of other goods increased.,https://www.cnbc.com/2018/02/16/us-import-prices-jan-2018.html
"8:51  AM ET Fri, 16 Feb 2018",Housing starts rebound as building permits rise to the highest level since 2007,"U.S. homebuilding increased to more than a one-year high in January, boosted by a rebound in the construction of single-family housing units.",https://www.cnbc.com/2018/02/16/us-housing-starts-jan-2018.html
"11:50  AM ET Fri, 16 Feb 2018",Puerto Rico's governor is bullish on blockchain as part of island's comeback,"Puerto Rico's governor calls blockchain a ""phenomenal technology"" and a ""game changer.""",https://www.cnbc.com/2018/02/16/puerto-ricos-governor-is-bullish-on-blockchain-as-part-of-islands-comeback.html
"10:51  AM ET Thu, 15 Feb 2018","Gasoline, health care lift US producer prices in January","Prices accelerated in January, offering more evidence that inflation pressures were building up.",https://www.cnbc.com/2018/02/15/us-producer-price-index-jan-2018.html
"10:56  AM ET Thu, 15 Feb 2018","Homebuilders shrug off higher mortgage rates, stay optimistic on economic boost from tax cuts","Tax cuts are still making homebuilders feel better, even as rates rise to the highest level in more than four years.",https://www.cnbc.com/2018/02/15/homebuilders-shrug-off-higher-mortgage-rates-stay-optimistic-on-economic-boost-from-tax-cuts.html
"5:47  AM ET Fri, 16 Feb 2018",US factory output fails to grow for second straight month,"U.S. factory output was flat for the second straight month in January, raising questions about the manufacturing outlook.",https://www.cnbc.com/2018/02/15/us-industrial-production-jan-2018.html
"10:04  AM ET Thu, 15 Feb 2018",Billionaire Blackstone CEO: Inflation fears should not overshadow benefits of a stronger economy,"Schwarzman encourages investors not to lose sight of the big picture. ""Markets get ahead of things and markets get behind things.""",https://www.cnbc.com/2018/02/15/blackstone-steve-schwarzman-stronger-economy-good-despite-inflation.html
"3:23  PM ET Tue, 20 Feb 2018",These jobs don't have enough people to fill them. See if you can,These 10 positions xe2x80x94 including home health care aides and truck drivers xe2x80x94 need more workers to fill them.,https://www.cnbc.com/2018/02/14/10-in-demand-jobs-that-dont-draw-enough-applicants.html
"1:48  PM ET Wed, 14 Feb 2018",JP Morgan slashes GDP estimate to 2.5% after 'hotter than Hades' inflation report,"J.P. Morgan slashed expectations for U.S. economic growth in the first quarter thanks to a ""hotter than Hades"" inflation reading.",https://www.cnbc.com/2018/02/14/jp-morgan-lowers-gdp-estimate.html
"1:11  PM ET Wed, 14 Feb 2018",January spending weakness is temporary because consumers are about to get a big boost,Any signs of a weak consumer in January's retail sales drop should be reversed by the benefits of the tax package.,https://www.cnbc.com/2018/02/14/january-spending-weakness-is-temporary-because-consumers-are-about-to-get-a-big-boost.html
"12:06  PM ET Wed, 14 Feb 2018",Rising inflation rekindles a big market fear from the 1970s,January's hotter-than-expected consumer price index reading pushes the economy closer to a potential danger zone for the stock market.rnrn,https://www.cnbc.com/2018/02/14/inflation-rise-toward-key-level-rekindles-stagflation-fear-from-the-1970s.html
"5:13  PM ET Wed, 14 Feb 2018",Americans are spending $751 million on their pets for Valentine's Day,How much do you love your pet?,https://www.cnbc.com/2018/02/14/americans-are-spending-751-million-on-their-pets-for-valentines-day.html
"3:32  PM ET Wed, 14 Feb 2018","After months of flash sales and deep discounts, apparel prices spike the most in 3 decades",The Consumer Price Index on Wednesday revealed that apparel prices climbed 1.7 percent in January.,https://www.cnbc.com/2018/02/14/after-months-of-flash-sales-and-deep-discounts-apparel-prices-spike.html
"9:40  AM ET Wed, 14 Feb 2018",Americans will spend about $19.6 billion on Valentinexe2x80x99s Dayxe2x80x94including $654 million on co-workers,How do you stack up?,https://www.cnbc.com/2018/02/14/millennials-are-driving-19-point-6-billion-in-valentines-day-spending.html
"10:13  AM ET Wed, 14 Feb 2018","Consumer prices jump much more than forecast, sparking inflation fears","The Consumer Price Index, a key indicator of inflation trends, jumped 0.5 percent in January, well above market expectations.",https://www.cnbc.com/2018/02/14/us-consumer-price-index-jan-2018.html
"10:34  AM ET Wed, 14 Feb 2018","Home Depot, Lowe's embark on spring hiring sprees as labor market stiffens","Two of the largest U.S. retailers are looking to hire more than 130,000 people combined.",https://www.cnbc.com/2018/02/14/home-depot-lowes-start-spring-hiring-in-stiff-labor-market.html
"1:36  PM ET Wed, 14 Feb 2018",Democrats go on defense as the Republican tax plan grows more popular,"America is learning to love the GOP tax plan, and that concerns Democrats as the November midterm elections approach.",https://www.cnbc.com/2018/02/14/democrats-on-defensive-as-support-for-gop-tax-plan-grows.html
"6:19  AM ET Wed, 14 Feb 2018","Inflation is seen rising in January, led by rising gas prices and rents","U.S. consumer prices likely increased solidly in January, boosted by rising gasoline and rents.",https://www.cnbc.com/2018/02/14/gasoline-rents-seen-lifting-us-monthly-cpi-annual-rates-to-slow.html
"8:35  AM ET Wed, 14 Feb 2018",Stock jitters and higher interest rates drive weekly mortgage applications down 4.1%,"Buying a home is emotional enough. Add a 1,000-plus point drop in the stock market and suddenly buyers really start to sweat.",https://www.cnbc.com/2018/02/14/stock-jitters-higher-rates-pressure-mortgage-demand-down.html
"7:00  PM ET Tue, 13 Feb 2018",Blankfein: Tax cuts plus more spending while economy grows is like throwing 'lighter fluid on a fire',"Goldman's CEO says he wouldn't have done it, but calls the plan to spend while cutting taxes a 'bold move.'",https://www.cnbc.com/2018/02/13/tax-cuts-like-throwing-lighter-fluid-on-a-fire-blankfein.html
"9:32  AM ET Wed,  7 March 2018",Commerce Secretary Wilbur Ross: 'We're not trying to blow up the world' with tariffs,Ross says Trump has indicated a degree of flexibility on tariffs for Canada and Mexico.,https://www.cnbc.com/2018/03/07/commerce-secretary-wilbur-ross-were-not-trying-to-blow-up-the-world-with-trade-tariffs.html
"11:37  AM ET Wed,  7 March 2018",Dick Bove: Loss of Cohn's expertise in White House could result in bad trade deals and higher inflation,"The president is being isolated from those who could help fashion more effective, less combative trade deals.",https://www.cnbc.com/2018/03/07/dick-bove-loss-of-cohns-expertise-could-result-in-bad-trade-deals.html
